type,asin,title,author,narrator,genre,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
monthly,B0DXXHKD1T,One Nation Always Under God,Tim Scott,Tim Scott,,7.8,4.9,50,6.99,23.39,https://m.media-amazon.com/images/I/41Y2n98scrL._SL500_.jpg,https://www.audible.com/pd/B0DXXHKD1T
monthly,B0F9PWSVM4,Spotlight,Rebecca Jenshak,"Christian Fox,Samantha Summers",,10.1,4.7,208,5.99,21.39,https://m.media-amazon.com/images/I/514T5SSLZ7L._SL500_.jpg,https://www.audible.com/pd/B0F9PWSVM4
monthly,B0CHBNR9TS,Welcome to the Hyunam-dong Bookshop,"Hwang Bo-reum,Shanna Tan - translator",Rosa Escoda,,8.0,4.3,187,5.99,18.56,https://m.media-amazon.com/images/I/51k8H4P0lYL._SL500_.jpg,https://www.audible.com/pd/B0CHBNR9TS
monthly,B0FF563PGB,Life of the Dead,Tony Urban,Matthew Crow,,31.6,4.7,136,5.99,31.58,https://m.media-amazon.com/images/I/41oDmMLfGhL._SL500_.jpg,https://www.audible.com/pd/B0FF563PGB
monthly,B0DDQH1K73,Shadow's Secret,Mary Stone,Brittany Goodwin,,7.6,4.0,237,5.99,18.0,https://m.media-amazon.com/images/I/51XNpfBHSML._SL500_.jpg,https://www.audible.com/pd/B0DDQH1K73
monthly,B0F9Z23F7F,Massimo,Olivia Thorn,"Cj Bloom,Jack Calihan",,11.3,4.6,134,6.99,21.62,https://m.media-amazon.com/images/I/41b7CWWASlL._SL500_.jpg,https://www.audible.com/pd/B0F9Z23F7F
monthly,B0CS3YHJSR,Something in the Woods Loves You,Jarod K. Anderson,Jarod K. Anderson,,11.5,4.8,77,6.99,25.19,https://m.media-amazon.com/images/I/61enOWAvrAL._SL500_.jpg,https://www.audible.com/pd/B0CS3YHJSR
monthly,B0D3JW65KF,Dating the Defensive Back,Lisa Suzanne,"Kelsey Navarro Foster,Tor Thom",,11.9,4.5,119,6.99,21.62,https://m.media-amazon.com/images/I/516h+h3a3-L._SL500_.jpg,https://www.audible.com/pd/B0D3JW65KF
monthly,B0CNDDPPF6,Can I Say That?,"Brenna Blain,Preston Sprinkle - introduction","Brenna Blain,Tristan Wright",,7.1,4.8,84,5.99,20.69,https://m.media-amazon.com/images/I/51GQ1HuzcHL._SL500_.jpg,https://www.audible.com/pd/B0CNDDPPF6
monthly,B0D9HT2QX5,A Spy Alone,Charles Beaumont,David Thorpe,,12.3,4.2,103,6.99,22.01,https://m.media-amazon.com/images/I/51iM5zTHFrL._SL500_.jpg,https://www.audible.com/pd/B0D9HT2QX5
monthly,B0DTL867NX,Crossroads Queen: Books 1-3,Annabel Chase,Vivienne Leheny,,21.1,4.7,149,5.99,31.98,https://m.media-amazon.com/images/I/51bq63VEtuL._SL500_.jpg,https://www.audible.com/pd/B0DTL867NX
monthly,B0CKNMK1B6,Vision,David S. Tatel,"John Lescault,David S. Tatel",,10.3,4.8,90,6.99,25.19,https://m.media-amazon.com/images/I/416K+e3z-YL._SL500_.jpg,https://www.audible.com/pd/B0CKNMK1B6
monthly,B0CJS1JMS2,Here with Me,Brooke Montgomery,"Tor Thom,Maxine Mitchell",,10.9,4.5,186,5.99,20.8,https://m.media-amazon.com/images/I/51oyVROmX6L._SL500_.jpg,https://www.audible.com/pd/B0CJS1JMS2
monthly,B0B2KHN179,The Unsold Mindset,"Colin Coggins,Garrett Brown","Colin Coggins,Garrett Brown",,7.2,4.6,47,5.99,21.59,https://m.media-amazon.com/images/I/51I36TzrIfL._SL500_.jpg,https://www.audible.com/pd/B0B2KHN179
monthly,B0BRBRGYBD,Reign of Night,Sara C. Roethle,Kim Bretton,,11.2,4.4,176,6.99,21.04,https://m.media-amazon.com/images/I/51M6ubzwkfL._SL500_.jpg,https://www.audible.com/pd/B0BRBRGYBD
