region,type,asin,title,author,narrator,genre,categories,tags,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
us,cash,B0BZT4NBQ1,Thriving with Anxiety,David H. Rosmarin,Mark Smeby,Health & Wellness,"Health & Wellness; Psychology & Mental Health; Mental Health; Anxiety Disorders; Psychology; Relationships, Parenting & Personal Development; Personal Development; Personal Success; Stress Management",,9.9,4.0,19,6.99,26.99,https://m.media-amazon.com/images/I/51-F1D4FHsL._SL500_.jpg,https://www.audible.com/pd/B0BZT4NBQ1
us,cash,B0BY3D4757,Fierce Obsession,Sadie Kincaid,"Charlotte Claremont,Gregory Salinas",Romance,Romance; Contemporary; Romantic Suspense,,7.5,4.8,365,5.99,17.54,https://m.media-amazon.com/images/I/51qds9FCTqL._SL500_.jpg,https://www.audible.com/pd/B0BY3D4757
us,cash,B0B2KDHM3W,Her Delta Force Protector,Sandra Owens,Patrick Zeller,"Mystery, Thriller & Suspense","Mystery, Thriller & Suspense; Mystery; Cozy; Animals; Romance; Contemporary; Military; Romantic Suspense",,8.0,4.7,211,6.99,23.39,https://m.media-amazon.com/images/I/519+lSDsddL._SL500_.jpg,https://www.audible.com/pd/B0B2KDHM3W
us,cash,1549115359,How to Belong with a Billionaire,Alexis Hall,Joel Leslie,LGBTQ+,LGBTQ+; Romance; Contemporary,,13.7,4.7,424,7.99,28.79,https://m.media-amazon.com/images/I/41mHvPaICFL._SL500_.jpg,https://www.audible.com/pd/1549115359
us,cash,0062880187,Franklin & Washington,Edward J. Larson,Andrew Tell,Biographies & Memoirs,Biographies & Memoirs; Politics & Activism; Politicians; Presidents & Heads of State; History; Americas; United States; Revolution & Founding; Military,,11.0,4.6,156,5.99,26.09,https://m.media-amazon.com/images/I/51I-eUviH9L._SL500_.jpg,https://www.audible.com/pd/0062880187
us,cash,B0CMVZ1TR3,Kings & Chaos,Sadie Hunt,"Lilly Drake,Michael Gallagher",Literature & Fiction,Literature & Fiction; Horror; Gothic; Romance; Contemporary; Romantic Suspense,,10.1,4.7,242,5.99,20.8,https://m.media-amazon.com/images/I/51gfo7o3sOL._SL500_.jpg,https://www.audible.com/pd/B0CMVZ1TR3
us,cash,B0D9KM3HGS,Hate Won't Win,Mallory McMorrow,Mallory McMorrow,Biographies & Memoirs,Biographies & Memoirs; Politics & Activism; Activists; Politicians; Politics & Social Sciences; Politics & Government; Women in Politics; Social Sciences; Activism & Social Justice,,9.5,4.9,31,6.99,25.19,https://m.media-amazon.com/images/I/61LX9LPkk7L._SL500_.jpg,https://www.audible.com/pd/B0D9KM3HGS
us,cash,B0CPQWZ4RW,Las leyes de la naturaleza humana,Robert Greene,Antonio Raluy,Health & Wellness,"Health & Wellness; Psychology & Mental Health; Psychology; Social Psychology & Interactions; Relationships, Parenting & Personal Development; Personal Development; Personal Success; Relationships",,28.1,4.7,145,5.99,23.43,https://m.media-amazon.com/images/I/51fvBJ1tN2L._SL500_.jpg,https://www.audible.com/pd/B0CPQWZ4RW
us,cash,B00TZ8VSG8,Out of Orange,Cleary Wolters,Barbara Rosenblat,Biographies & Memoirs,Biographies & Memoirs; True Crime; LGBTQ+,,12.0,4.2,249,7.99,26.09,https://m.media-amazon.com/images/I/51tyKDiFIyL._SL500_.jpg,https://www.audible.com/pd/B00TZ8VSG8
us,cash,B0B3LW3RS8,Defend Us in Battle,"George Monsoor,Rose M. Rea","Zach Hoffman,John Behrens",Biographies & Memoirs,"Biographies & Memoirs; Military & War; History; Military; Wars & Conflicts; Iraq War; Relationships, Parenting & Personal Development; Parenting & Families; Military Families; Relationships",,4.1,4.9,139,6.99,18.89,https://m.media-amazon.com/images/I/51y0VFEqFuL._SL500_.jpg,https://www.audible.com/pd/B0B3LW3RS8
